Column1,Year,NUTS ID,Country code,Name (latin characters),Yearly PM 2.5 average (µg/m³),Population estimate (GHSL 2020),0–5µg/m³ - population,5–10µg/m³ - population,10–15µg/m³ - population,15–20µg/m³ - population,20–25µg/m³ - population,25+ µg/m³ - population,0–5µg/m³ - percentage,5–10µg/m³ - percentage,10–15µg/m³ - percentage,15–20µg/m³ - percentage,20–25µg/m³ - percentage,25+ µg/m³ - percentage
168,2021,MK,MK,Severna Makedonija,10.292842,2097340,0,476084,1012801,403142,205314,0,0,0.226994095,0.48289757,0.192215672,0.097892663,0
169,2022,MK,MK,Severna Makedonija,9.819423,2097340,0,533866,963213,600261,0,0,0,0.254544505,0.459254549,0.286200946,0,0
170,2018,MT,MT,Malta,10.4968,199852,0,0,199852,0,0,0,0,0,1,0,0,0
171,2019,MT,MT,Malta,12.409813,199852,0,0,199852,0,0,0,0,0,1,0,0,0
172,2020,MT,MT,Malta,8.815783,199852,0,199852,0,0,0,0,0,1,0,0,0,0
173,2021,MT,MT,Malta,9.519025,199852,0,199852,0,0,0,0,0,1,0,0,0,0
174,2022,MT,MT,Malta,9.076648,199852,0,199852,0,0,0,0,0,1,0,0,0,0
175,2018,NL,NL,Nederland,10.745918,17017475,0,2169324,14848152,0,0,0,0,0.12747624,0.87252376,0,0,0
176,2019,NL,NL,Nederland,9.908374,17017475,0,6001439,11016037,0,0,0,0,0.352663279,0.647336721,0,0,0
177,2020,NL,NL,Nederland,8.545468,17017475,0,16266530,750946,0,0,0,0,0.955872089,0.044127911,0,0,0
178,2021,NL,NL,Nederland,8.991965,17017475,0,13606058,3411418,0,0,0,0,0.799534437,0.200465563,0,0,0
179,2022,NL,NL,Nederland,9.3976,17017475,0,11128468,5889007,0,0,0,0,0.653943559,0.346056441,0,0,0
180,2018,PL,PL,Polska,15.514731,38251151,0,167565,9048653,19996347,7075907,1962679,0,0.004380646,0.236558975,0.522764585,0.184985467,0.051310326
181,2019,PL,PL,Polska,14.285893,38251151,0,274741,12661779,20531239,4565526,217865,0,0.007182563,0.331016953,0.536748267,0.119356569,0.005695648
182,2020,PL,PL,Polska,12.5839205,38251151,0,2423154,19629328,12904275,3294394,0,0,0.063348517,0.513169607,0.337356526,0.086125351,0
